Timestamp,Email address,Reg. No.,Age Group,Gender,Instagram,WhatsApp,YouTube,Snapchat,Phone Type,Average screen time per day,Time spent on most used apps (hrs),Do you feel you use your phone too much?,What do you mainly use your phone for?,Do notifications distract you?
2025-01-01 03:00:00,student37@example.com,REG202500037,21-23,Male,No,Yes,Yes,Yes,iPhone,4-6 hrs,8,No,Gaming,No
2025-01-01 03:05:00,student38@example.com,REG202500038,27-30,Male,No,No,No,Yes,iPhone,8+ hrs,4,No,Gaming,Yes
2025-01-01 03:10:00,student39@example.com,REG202500039,24-26,Male,No,No,No,Yes,Android,4-6 hrs,4,No,Education,Yes
2025-01-01 03:15:00,student40@example.com,REG202500040,18-20,Female,No,No,No,No,Android,4-6 hrs,7,No,Communication,Yes
2025-01-01 03:20:00,student41@example.com,REG202500041,27-30,Female,Yes,No,No,No,iPhone,4-6 hrs,8,Yes,Entertainment,No
2025-01-01 03:25:00,student42@example.com,REG202500042,27-30,Male,No,No,No,Yes,iPhone,4-6 hrs,1,No,Communication,Yes
2025-01-01 03:30:00,student43@example.com,REG202500043,18-20,Female,Yes,No,Yes,Yes,iPhone,8+ hrs,6,Yes,Gaming,No
2025-01-01 03:35:00,student44@example.com,REG202500044,24-26,Female,No,No,No,Yes,iPhone,2-4 hrs,1,No,Education,Yes
2025-01-01 03:40:00,student45@example.com,REG202500045,18-20,Male,Yes,Yes,Yes,Yes,Android,4-6 hrs,8,Yes,Communication,Yes
2025-01-01 03:45:00,student46@example.com,REG202500046,27-30,Female,No,Yes,Yes,Yes,iPhone,2-4 hrs,1,No,Communication,No
2025-01-01 03:50:00,student47@example.com,REG202500047,27-30,Male,Yes,Yes,Yes,No,Android,2-4 hrs,6,No,Entertainment,Yes
2025-01-01 03:55:00,student48@example.com,REG202500048,24-26,Male,No,No,Yes,No,iPhone,8+ hrs,3,No,Education,No
2025-01-01 04:00:00,student49@example.com,REG202500049,27-30,Female,No,No,No,Yes,Android,6-8 hrs,8,Yes,Gaming,No
2025-01-01 04:05:00,student50@example.com,REG202500050,24-26,Male,No,No,Yes,No,Android,6-8 hrs,5,No,Entertainment,No
2025-01-01 04:10:00,student51@example.com,REG202500051,18-20,Male,Yes,Yes,No,No,Android,8+ hrs,8,No,Social Media,Yes
2025-01-01 04:15:00,student52@example.com,REG202500052,24-26,Male,No,Yes,No,No,iPhone,6-8 hrs,7,No,Entertainment,No
2025-01-01 04:20:00,student53@example.com,REG202500053,24-26,Female,No,Yes,Yes,Yes,iPhone,2-4 hrs,3,Yes,Education,No
2025-01-01 04:25:00,student54@example.com,REG202500054,24-26,Female,Yes,Yes,No,Yes,iPhone,4-6 hrs,5,Yes,Communication,Yes
2025-01-01 04:30:00,student55@example.com,REG202500055,24-26,Male,Yes,No,Yes,No,Android,2-4 hrs,5,No,Gaming,No
2025-01-01 04:35:00,student56@example.com,REG202500056,24-26,Male,Yes,No,No,Yes,Android,8+ hrs,8,Yes,Communication,Yes
2025-01-01 04:40:00,student57@example.com,REG202500057,21-23,Male,No,Yes,Yes,Yes,iPhone,4-6 hrs,7,No,Gaming,No
2025-01-01 04:45:00,student58@example.com,REG202500058,27-30,Female,Yes,Yes,Yes,Yes,iPhone,2-4 hrs,3,Yes,Education,Yes
2025-01-01 04:50:00,student59@example.com,REG202500059,21-23,Male,No,No,No,No,Android,4-6 hrs,5,No,Gaming,Yes
2025-01-01 04:55:00,student60@example.com,REG202500060,21-23,Female,Yes,No,Yes,Yes,Android,6-8 hrs,3,Yes,Social Media,Yes
2025-01-01 05:00:00,student61@example.com,REG202500061,24-26,Female,No,Yes,No,No,iPhone,6-8 hrs,8,No,Social Media,Yes
2025-01-01 05:05:00,student62@example.com,REG202500062,27-30,Female,No,Yes,Yes,Yes,Android,6-8 hrs,1,Yes,Gaming,No
2025-01-01 05:10:00,student63@example.com,REG202500063,24-26,Male,No,No,Yes,No,iPhone,8+ hrs,6,No,Social Media,Yes
2025-01-01 05:15:00,student64@example.com,REG202500064,24-26,Female,No,No,No,Yes,iPhone,2-4 hrs,6,No,Entertainment,Yes
2025-01-01 05:20:00,student65@example.com,REG202500065,27-30,Male,No,No,Yes,Yes,iPhone,8+ hrs,8,Yes,Education,No
2025-01-01 05:25:00,student66@example.com,REG202500066,21-23,Female,No,No,Yes,Yes,Android,4-6 hrs,5,Yes,Communication,No
2025-01-01 05:30:00,student67@example.com,REG202500067,18-20,Male,Yes,No,Yes,Yes,iPhone,6-8 hrs,5,No,Gaming,No
2025-01-01 05:35:00,student68@example.com,REG202500068,21-23,Female,Yes,No,Yes,Yes,Android,6-8 hrs,7,No,Communication,No
2025-01-01 05:40:00,student69@example.com,REG202500069,18-20,Female,No,No,Yes,No,iPhone,6-8 hrs,6,No,Gaming,No
2025-01-01 05:45:00,student70@example.com,REG202500070,21-23,Male,No,Yes,No,Yes,iPhone,8+ hrs,7,No,Education,No
2025-01-01 05:50:00,student71@example.com,REG202500071,18-20,Male,No,Yes,No,Yes,iPhone,2-4 hrs,3,No,Education,Yes
2025-01-01 05:55:00,student72@example.com,REG202500072,27-30,Female,No,No,Yes,No,iPhone,6-8 hrs,8,Yes,Communication,Yes
2025-01-01 06:00:00,student73@example.com,REG202500073,21-23,Female,Yes,Yes,No,Yes,Android,8+ hrs,3,No,Social Media,Yes
2025-01-01 06:05:00,student74@example.com,REG202500074,24-26,Male,No,No,No,No,Android,4-6 hrs,7,Yes,Education,Yes
2025-01-01 06:10:00,student75@example.com,REG202500075,18-20,Female,Yes,No,Yes,Yes,iPhone,6-8 hrs,8,No,Social Media,No
2025-01-01 06:15:00,student76@example.com,REG202500076,24-26,Male,Yes,No,No,No,iPhone,6-8 hrs,8,No,Education,No
2025-01-01 06:20:00,student77@example.com,REG202500077,27-30,Male,Yes,No,No,No,iPhone,2-4 hrs,7,No,Social Media,Yes
2025-01-01 06:25:00,student78@example.com,REG202500078,27-30,Female,Yes,No,Yes,Yes,iPhone,4-6 hrs,2,Yes,Entertainment,No
2025-01-01 06:30:00,student79@example.com,REG202500079,18-20,Female,Yes,Yes,No,No,iPhone,4-6 hrs,4,Yes,Communication,No
2025-01-01 06:35:00,student80@example.com,REG202500080,24-26,Male,No,No,No,No,Android,8+ hrs,2,Yes,Education,No
2025-01-01 06:40:00,student81@example.com,REG202500081,24-26,Male,No,Yes,No,Yes,iPhone,6-8 hrs,5,No,Entertainment,Yes
2025-01-01 06:45:00,student82@example.com,REG202500082,21-23,Female,Yes,No,Yes,Yes,iPhone,6-8 hrs,7,Yes,Education,Yes
2025-01-01 06:50:00,student83@example.com,REG202500083,18-20,Female,No,Yes,Yes,Yes,Android,8+ hrs,8,No,Communication,No
2025-01-01 06:55:00,student84@example.com,REG202500084,21-23,Female,Yes,No,No,No,Android,6-8 hrs,4,No,Gaming,Yes
2025-01-01 07:00:00,student85@example.com,REG202500085,24-26,Male,No,No,Yes,No,iPhone,4-6 hrs,2,No,Social Media,Yes
2025-01-01 07:05:00,student86@example.com,REG202500086,18-20,Male,No,Yes,Yes,Yes,Android,4-6 hrs,4,Yes,Entertainment,Yes
2025-01-01 07:10:00,student87@example.com,REG202500087,18-20,Female,Yes,Yes,No,Yes,Android,2-4 hrs,3,Yes,Entertainment,Yes
2025-01-01 07:15:00,student88@example.com,REG202500088,24-26,Male,Yes,No,Yes,Yes,iPhone,2-4 hrs,2,No,Gaming,No
2025-01-01 07:20:00,student89@example.com,REG202500089,18-20,Female,Yes,Yes,No,No,Android,2-4 hrs,8,No,Gaming,Yes
2025-01-01 07:25:00,student90@example.com,REG202500090,27-30,Female,Yes,Yes,No,Yes,Android,4-6 hrs,5,No,Gaming,No
2025-01-01 07:30:00,student91@example.com,REG202500091,27-30,Female,Yes,Yes,Yes,No,iPhone,4-6 hrs,7,No,Gaming,No
2025-01-01 07:35:00,student92@example.com,REG202500092,27-30,Male,No,No,No,No,iPhone,4-6 hrs,8,Yes,Social Media,Yes
2025-01-01 07:40:00,student93@example.com,REG202500093,18-20,Female,Yes,No,Yes,Yes,iPhone,2-4 hrs,7,No,Gaming,Yes
2025-01-01 07:45:00,student94@example.com,REG202500094,24-26,Female,No,Yes,Yes,Yes,iPhone,4-6 hrs,2,No,Communication,No
2025-01-01 07:50:00,student95@example.com,REG202500095,18-20,Female,Yes,No,Yes,No,Android,4-6 hrs,5,No,Entertainment,No
2025-01-01 07:55:00,student96@example.com,REG202500096,18-20,Male,Yes,No,Yes,Yes,Android,2-4 hrs,4,No,Gaming,No
2025-01-01 08:00:00,student97@example.com,REG202500097,24-26,Male,No,No,No,Yes,Android,4-6 hrs,3,Yes,Social Media,No
2025-01-01 08:05:00,student98@example.com,REG202500098,27-30,Female,No,No,No,No,Android,2-4 hrs,6,No,Social Media,No
2025-01-01 08:10:00,student99@example.com,REG202500099,27-30,Female,Yes,Yes,No,Yes,Android,4-6 hrs,5,Yes,Education,No
2025-01-01 08:15:00,student100@example.com,REG202500100,24-26,Female,Yes,Yes,No,No,Android,4-6 hrs,7,Yes,Communication,No
2025-01-01 08:20:00,student101@example.com,REG202500101,18-20,Female,Yes,No,Yes,No,Android,6-8 hrs,7,No,Gaming,No
2025-01-01 08:25:00,student102@example.com,REG202500102,18-20,Female,Yes,No,Yes,No,iPhone,2-4 hrs,7,Yes,Education,No
2025-01-01 08:30:00,student103@example.com,REG202500103,27-30,Male,No,No,No,Yes,iPhone,4-6 hrs,2,Yes,Communication,Yes
2025-01-01 08:35:00,student104@example.com,REG202500104,24-26,Female,Yes,Yes,Yes,Yes,iPhone,4-6 hrs,3,Yes,Social Media,Yes
2025-01-01 08:40:00,student105@example.com,REG202500105,27-30,Female,No,No,No,Yes,iPhone,2-4 hrs,8,No,Entertainment,No
2025-01-01 08:45:00,student106@example.com,REG202500106,18-20,Female,Yes,No,No,No,Android,2-4 hrs,6,No,Social Media,Yes
2025-01-01 08:50:00,student107@example.com,REG202500107,27-30,Female,Yes,No,Yes,No,iPhone,4-6 hrs,1,No,Social Media,No
2025-01-01 08:55:00,student108@example.com,REG202500108,18-20,Male,Yes,Yes,No,No,Android,6-8 hrs,6,No,Gaming,No
2025-01-01 09:00:00,student109@example.com,REG202500109,24-26,Male,No,Yes,No,Yes,iPhone,6-8 hrs,5,Yes,Entertainment,Yes
2025-01-01 09:05:00,student110@example.com,REG202500110,21-23,Female,No,No,Yes,Yes,iPhone,8+ hrs,6,Yes,Communication,Yes
2025-01-01 09:10:00,student111@example.com,REG202500111,27-30,Female,Yes,No,No,Yes,Android,6-8 hrs,8,Yes,Education,Yes
2025-01-01 09:15:00,student112@example.com,REG202500112,21-23,Male,No,Yes,Yes,No,Android,8+ hrs,3,Yes,Education,Yes
2025-01-01 09:20:00,student113@example.com,REG202500113,27-30,Male,No,No,Yes,No,iPhone,8+ hrs,4,Yes,Entertainment,No
2025-01-01 09:25:00,student114@example.com,REG202500114,21-23,Female,No,No,No,No,iPhone,4-6 hrs,4,Yes,Entertainment,Yes
2025-01-01 09:30:00,student115@example.com,REG202500115,27-30,Female,Yes,Yes,No,Yes,Android,6-8 hrs,8,Yes,Gaming,Yes
2025-01-01 09:35:00,student116@example.com,REG202500116,21-23,Female,No,Yes,No,Yes,iPhone,6-8 hrs,4,No,Social Media,No
2025-01-01 09:40:00,student117@example.com,REG202500117,21-23,Male,No,Yes,No,Yes,Android,2-4 hrs,5,No,Education,No
2025-01-01 09:45:00,student118@example.com,REG202500118,27-30,Male,Yes,Yes,No,Yes,Android,8+ hrs,2,No,Education,No
2025-01-01 09:50:00,student119@example.com,REG202500119,18-20,Male,Yes,No,No,Yes,Android,8+ hrs,1,Yes,Education,No
2025-01-01 09:55:00,student120@example.com,REG202500120,27-30,Male,No,Yes,No,Yes,Android,6-8 hrs,2,Yes,Gaming,No
2025-01-01 10:00:00,student121@example.com,REG202500121,18-20,Female,No,No,Yes,No,Android,6-8 hrs,4,Yes,Communication,No
2025-01-01 10:05:00,student122@example.com,REG202500122,21-23,Male,No,No,Yes,No,iPhone,4-6 hrs,3,Yes,Gaming,Yes
2025-01-01 10:10:00,student123@example.com,REG202500123,24-26,Male,Yes,Yes,Yes,No,iPhone,8+ hrs,8,No,Social Media,Yes
2025-01-01 10:15:00,student124@example.com,REG202500124,24-26,Female,Yes,No,No,Yes,iPhone,8+ hrs,7,No,Gaming,No
2025-01-01 10:20:00,student125@example.com,REG202500125,21-23,Female,No,No,No,Yes,iPhone,2-4 hrs,7,Yes,Communication,No
2025-01-01 10:25:00,student126@example.com,REG202500126,24-26,Male,Yes,No,No,No,iPhone,8+ hrs,3,No,Entertainment,No
2025-01-01 10:30:00,student127@example.com,REG202500127,18-20,Female,No,No,Yes,Yes,iPhone,6-8 hrs,3,Yes,Education,No
2025-01-01 10:35:00,student128@example.com,REG202500128,18-20,Male,Yes,Yes,No,No,iPhone,2-4 hrs,3,No,Entertainment,No
2025-01-01 10:40:00,student129@example.com,REG202500129,27-30,Male,Yes,No,No,No,iPhone,4-6 hrs,2,Yes,Education,No
2025-01-01 10:45:00,student130@example.com,REG202500130,27-30,Male,No,No,No,Yes,iPhone,8+ hrs,4,Yes,Education,Yes
2025-01-01 10:50:00,student131@example.com,REG202500131,27-30,Male,No,Yes,No,No,Android,6-8 hrs,5,Yes,Education,No
2025-01-01 10:55:00,student132@example.com,REG202500132,21-23,Male,Yes,Yes,Yes,No,Android,6-8 hrs,6,No,Communication,Yes
2025-01-01 11:00:00,student133@example.com,REG202500133,18-20,Male,No,No,No,No,iPhone,2-4 hrs,3,No,Social Media,No
2025-01-01 11:05:00,student134@example.com,REG202500134,27-30,Female,Yes,Yes,Yes,No,Android,2-4 hrs,3,No,Education,Yes
2025-01-01 11:10:00,student135@example.com,REG202500135,24-26,Male,No,No,Yes,No,Android,6-8 hrs,3,No,Communication,Yes
2025-01-01 11:15:00,student136@example.com,REG202500136,21-23,Male,Yes,No,Yes,Yes,Android,2-4 hrs,5,Yes,Communication,No
2025-01-01 11:20:00,student137@example.com,REG202500137,18-20,Female,No,No,No,Yes,iPhone,6-8 hrs,8,Yes,Social Media,Yes
2025-01-01 11:25:00,student138@example.com,REG202500138,27-30,Female,No,No,Yes,No,Android,6-8 hrs,6,No,Gaming,Yes
2025-01-01 11:30:00,student139@example.com,REG202500139,24-26,Male,No,Yes,No,Yes,iPhone,8+ hrs,4,Yes,Social Media,Yes
2025-01-01 11:35:00,student140@example.com,REG202500140,24-26,Female,No,Yes,Yes,No,iPhone,4-6 hrs,3,No,Communication,No
2025-01-01 11:40:00,student141@example.com,REG202500141,27-30,Female,No,Yes,Yes,No,iPhone,4-6 hrs,4,No,Social Media,Yes
2025-01-01 11:45:00,student142@example.com,REG202500142,24-26,Female,No,No,Yes,Yes,iPhone,4-6 hrs,5,No,Gaming,No
2025-01-01 11:50:00,student143@example.com,REG202500143,18-20,Female,Yes,Yes,No,No,Android,8+ hrs,8,No,Communication,Yes
2025-01-01 11:55:00,student144@example.com,REG202500144,21-23,Male,No,No,No,No,Android,4-6 hrs,7,Yes,Social Media,Yes
2025-01-01 12:00:00,student145@example.com,REG202500145,21-23,Female,No,No,Yes,Yes,iPhone,6-8 hrs,3,No,Communication,No
2025-01-01 12:05:00,student146@example.com,REG202500146,24-26,Female,No,No,Yes,No,iPhone,2-4 hrs,7,No,Social Media,No
2025-01-01 12:10:00,student147@example.com,REG202500147,24-26,Male,Yes,No,Yes,No,Android,4-6 hrs,1,Yes,Education,Yes
2025-01-01 12:15:00,student148@example.com,REG202500148,27-30,Female,No,Yes,No,Yes,iPhone,8+ hrs,1,Yes,Communication,Yes
2025-01-01 12:20:00,student149@example.com,REG202500149,24-26,Female,No,No,Yes,No,iPhone,6-8 hrs,5,No,Education,Yes
2025-01-01 12:25:00,student150@example.com,REG202500150,24-26,Female,Yes,No,No,Yes,iPhone,6-8 hrs,8,No,Communication,No
2025-01-01 12:30:00,student151@example.com,REG202500151,24-26,Male,No,No,No,Yes,iPhone,2-4 hrs,5,Yes,Entertainment,No
2025-01-01 12:35:00,student152@example.com,REG202500152,24-26,Female,Yes,Yes,No,No,Android,2-4 hrs,4,Yes,Social Media,Yes
2025-01-01 12:40:00,student153@example.com,REG202500153,21-23,Male,Yes,No,No,No,Android,4-6 hrs,1,Yes,Gaming,No
2025-01-01 12:45:00,student154@example.com,REG202500154,27-30,Male,No,No,No,Yes,Android,4-6 hrs,1,Yes,Gaming,Yes
2025-01-01 12:50:00,student155@example.com,REG202500155,18-20,Female,No,Yes,No,Yes,Android,6-8 hrs,2,No,Entertainment,No
2025-01-01 12:55:00,student156@example.com,REG202500156,27-30,Male,No,No,Yes,Yes,iPhone,4-6 hrs,8,No,Education,Yes
2025-01-01 13:00:00,student157@example.com,REG202500157,24-26,Female,Yes,Yes,No,No,iPhone,2-4 hrs,7,Yes,Education,Yes
2025-01-01 13:05:00,student158@example.com,REG202500158,27-30,Female,Yes,Yes,No,No,Android,8+ hrs,5,No,Entertainment,Yes
2025-01-01 13:10:00,student159@example.com,REG202500159,24-26,Female,Yes,Yes,Yes,No,iPhone,4-6 hrs,7,No,Social Media,No
2025-01-01 13:15:00,student160@example.com,REG202500160,24-26,Male,Yes,Yes,No,Yes,iPhone,6-8 hrs,7,No,Communication,Yes
2025-01-01 13:20:00,student161@example.com,REG202500161,21-23,Male,No,No,Yes,Yes,Android,4-6 hrs,3,Yes,Entertainment,No
2025-01-01 13:25:00,student162@example.com,REG202500162,18-20,Male,No,Yes,No,Yes,iPhone,4-6 hrs,7,No,Communication,Yes
2025-01-01 13:30:00,student163@example.com,REG202500163,27-30,Female,Yes,No,No,Yes,Android,2-4 hrs,1,No,Entertainment,Yes
2025-01-01 13:35:00,student164@example.com,REG202500164,18-20,Male,No,Yes,No,No,Android,4-6 hrs,7,No,Gaming,No
2025-01-01 13:40:00,student165@example.com,REG202500165,27-30,Female,Yes,Yes,No,Yes,Android,8+ hrs,3,Yes,Social Media,Yes
2025-01-01 13:45:00,student166@example.com,REG202500166,24-26,Female,No,No,Yes,Yes,iPhone,6-8 hrs,3,No,Education,Yes
2025-01-01 13:50:00,student167@example.com,REG202500167,18-20,Female,Yes,Yes,Yes,Yes,Android,2-4 hrs,8,Yes,Education,Yes
2025-01-01 13:55:00,student168@example.com,REG202500168,27-30,Female,Yes,Yes,Yes,Yes,iPhone,4-6 hrs,6,No,Education,No
2025-01-01 14:00:00,student169@example.com,REG202500169,21-23,Male,No,No,No,Yes,Android,8+ hrs,8,Yes,Entertainment,No
2025-01-01 14:05:00,student170@example.com,REG202500170,24-26,Female,No,Yes,No,No,Android,8+ hrs,4,Yes,Entertainment,Yes
2025-01-01 14:10:00,student171@example.com,REG202500171,27-30,Male,No,No,Yes,No,Android,6-8 hrs,4,No,Social Media,No
2025-01-01 14:15:00,student172@example.com,REG202500172,24-26,Male,Yes,Yes,No,No,Android,2-4 hrs,4,Yes,Gaming,Yes
2025-01-01 14:20:00,student173@example.com,REG202500173,24-26,Female,Yes,Yes,Yes,Yes,iPhone,4-6 hrs,4,No,Education,No
2025-01-01 14:25:00,student174@example.com,REG202500174,24-26,Female,No,No,No,No,iPhone,8+ hrs,8,Yes,Gaming,No
2025-01-01 14:30:00,student175@example.com,REG202500175,21-23,Female,No,No,Yes,Yes,Android,2-4 hrs,5,No,Entertainment,Yes
2025-01-01 14:35:00,student176@example.com,REG202500176,21-23,Female,Yes,No,Yes,No,iPhone,6-8 hrs,8,No,Gaming,Yes
2025-01-01 14:40:00,student177@example.com,REG202500177,24-26,Male,Yes,No,Yes,Yes,Android,2-4 hrs,1,Yes,Gaming,Yes
2025-01-01 14:45:00,student178@example.com,REG202500178,21-23,Male,Yes,Yes,Yes,No,iPhone,2-4 hrs,8,No,Social Media,Yes
2025-01-01 14:50:00,student179@example.com,REG202500179,27-30,Male,Yes,No,No,Yes,iPhone,4-6 hrs,2,Yes,Communication,Yes
2025-01-01 14:55:00,student180@example.com,REG202500180,21-23,Male,No,No,No,No,Android,6-8 hrs,7,No,Communication,Yes
2025-01-01 15:00:00,student181@example.com,REG202500181,21-23,Female,Yes,Yes,Yes,No,iPhone,8+ hrs,8,Yes,Social Media,Yes
2025-01-01 15:05:00,student182@example.com,REG202500182,18-20,Female,No,No,Yes,Yes,Android,4-6 hrs,8,No,Social Media,Yes
2025-01-01 15:10:00,student183@example.com,REG202500183,24-26,Male,Yes,No,Yes,Yes,Android,8+ hrs,2,No,Education,Yes
2025-01-01 15:15:00,student184@example.com,REG202500184,27-30,Female,No,Yes,Yes,No,Android,2-4 hrs,7,Yes,Social Media,No
2025-01-01 15:20:00,student185@example.com,REG202500185,27-30,Female,Yes,No,No,No,Android,6-8 hrs,7,No,Education,No
2025-01-01 15:25:00,student186@example.com,REG202500186,18-20,Female,Yes,Yes,Yes,No,Android,8+ hrs,3,No,Entertainment,No
2025-01-01 15:30:00,student187@example.com,REG202500187,18-20,Male,Yes,No,No,No,iPhone,2-4 hrs,3,Yes,Education,No
2025-01-01 15:35:00,student188@example.com,REG202500188,27-30,Female,Yes,Yes,Yes,No,Android,6-8 hrs,7,Yes,Entertainment,No
2025-01-01 15:40:00,student189@example.com,REG202500189,27-30,Male,Yes,Yes,No,Yes,Android,6-8 hrs,5,No,Gaming,Yes
2025-01-01 15:45:00,student190@example.com,REG202500190,18-20,Male,No,No,No,No,iPhone,2-4 hrs,6,No,Education,No
2025-01-01 15:50:00,student191@example.com,REG202500191,21-23,Female,Yes,Yes,No,Yes,iPhone,6-8 hrs,7,No,Gaming,No
2025-01-01 15:55:00,student192@example.com,REG202500192,27-30,Male,No,No,Yes,No,iPhone,4-6 hrs,7,No,Entertainment,No
2025-01-01 16:00:00,student193@example.com,REG202500193,21-23,Female,No,No,No,No,Android,4-6 hrs,3,Yes,Gaming,Yes
2025-01-01 16:05:00,student194@example.com,REG202500194,27-30,Female,Yes,No,No,Yes,iPhone,4-6 hrs,5,Yes,Gaming,No
2025-01-01 16:10:00,student195@example.com,REG202500195,18-20,Female,No,No,No,Yes,iPhone,2-4 hrs,2,Yes,Entertainment,Yes
2025-01-01 16:15:00,student196@example.com,REG202500196,18-20,Female,No,No,Yes,Yes,Android,6-8 hrs,4,Yes,Gaming,No
2025-01-01 16:20:00,student197@example.com,REG202500197,27-30,Female,Yes,No,Yes,No,Android,6-8 hrs,7,Yes,Social Media,Yes
2025-01-01 16:25:00,student198@example.com,REG202500198,24-26,Female,No,No,Yes,No,iPhone,8+ hrs,2,No,Gaming,No
